beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,Li7_OK,Li_total_OK,A7_flipped,ACCEPTED,chi_sum
0.98,1.11,0.63,2.5272527e-05,0.24358000000000002,1.3138234624145786e-10,0.0,1.3138234624145786e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.06911731207289346,0.06911731207289346,True,True,True,True,True,True,0.15165795747911576
0.98,1.11,0.64,2.5272527e-05,0.24358000000000002,1.3049061085972852e-10,0.0,1.3049061085972852e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.02453054298642672,0.02453054298642672,True,True,True,True,True,True,0.0624844193061823
0.98,1.11,0.65,2.5272527e-05,0.24358000000000002,1.296108988764045e-10,0.0,1.296108988764045e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.019455056179774725,0.019455056179774725,True,True,True,True,True,True,0.0523334456928783
0.98,1.11,0.66,2.5272527e-05,0.24358000000000002,1.2874296875e-10,0.0,1.2874296875e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.06285156249999942,0.06285156249999942,True,True,True,True,True,True,0.1391264583333277
0.98,1.11,0.67,2.5272527e-05,0.24358000000000002,1.2788658536585366e-10,0.0,1.2788658536585366e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.10567073170731661,0.10567073170731661,True,True,True,True,True,True,0.22476479674796207
0.98,1.11,0.68,2.5272527e-05,0.24358000000000002,1.2704151982378856e-10,0.0,1.2704151982378856e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.14792400881057133,0.14792400881057133,True,True,True,True,True,True,0.3092713509544715
0.98,1.11,0.69,2.5272527e-05,0.24358000000000002,1.262075492341357e-10,0.0,1.262075492341357e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.18962253829321493,0.18962253829321493,True,True,True,True,True,True,0.3926684099197587
0.98,1.11,0.7,2.5272527e-05,0.24358000000000002,1.2538445652173915e-10,0.0,1.2538445652173915e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.2307771739130418,0.2307771739130418,True,True,True,True,True,True,0.47497768115941247
0.98,1.12,0.6,2.5272527e-05,0.24358000000000002,1.3476790697674418e-10,0.0,1.3476790697674418e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.23839534883720961,0.23839534883720961,True,True,True,True,True,True,0.4902140310077481
0.98,1.12,0.61,2.5272527e-05,0.24358000000000002,1.3383418013856813e-10,0.0,1.3383418013856813e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.19170900692840717,0.19170900692840717,True,True,True,True,True,True,0.3968413471901432
0.98,1.12,0.62,2.5272527e-05,0.24358000000000002,1.3291330275229356e-10,0.0,1.3291330275229356e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.14566513761467864,0.14566513761467864,True,True,True,True,True,True,0.30475360856268613
0.98,1.12,0.63,2.5272527e-05,0.24358000000000002,1.3200501138952164e-10,0.0,1.3200501138952164e-10,0.996,0.994,True,True,True,0.008423333333330797,0.0049999999999980616,0.10025056947608241,0.10025056947608241,True,True,True,True,True,True,0.21392447228549366
