beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.97,1.03,0.6,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1630606465116281e-10,0.0,1.1630606465116281e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.6846967674418591,0.6846967674418591,True,True,True,True,True,1.698568052550407,0.5555555555555556
0.97,1.03,0.62,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1470552247706424e-10,0.0,1.1470552247706424e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.7647238761467875,0.7647238761467875,True,True,True,True,True,1.8586222699602635,0.5555555555555556
0.97,1.03,0.64,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1314843393665158e-10,0.0,1.1314843393665158e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.8425783031674206,0.8425783031674206,True,True,True,True,True,2.01433112400153,0.5555555555555556
0.97,1.03,0.66,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1163305312500001e-10,0.0,1.1163305312500001e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.918347343749999,0.918347343749999,True,True,True,True,True,2.1658692051666866,0.5555555555555556
0.97,1.03,0.68,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1015772643171808e-10,0.0,1.1015772643171808e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.9921136784140958,0.9921136784140958,True,True,True,True,True,2.3134018744948803,0.5555555555555556
0.97,1.03,0.7,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.0872088652173914e-10,0.0,1.0872088652173914e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,1.0639556739130427,1.0639556739130427,True,True,False,False,False,2.457085865492774,0.5555555555555556
0.97,1.03,0.72,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.0732104678111589e-10,0.0,1.0732104678111589e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,1.1339476609442052,1.1339476609442052,True,True,False,False,False,2.597069839555099,0.5555555555555556
0.97,1.05,0.56,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.208237631578947e-10,0.0,1.208237631578947e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.4588118421052645,0.4588118421052645,True,True,True,True,True,1.2467982018772177,0.5555555555555556
0.97,1.05,0.58,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.191139929245283e-10,0.0,1.191139929245283e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.5443003537735852,0.5443003537735852,True,True,True,True,True,1.417775225213859,0.5555555555555556
0.97,1.05,0.6,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1745193720930233e-10,0.0,1.1745193720930233e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.627403139534883,0.627403139534883,True,True,True,True,True,1.5839807967364545,0.5555555555555556
0.97,1.05,0.62,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1583562614678897e-10,0.0,1.1583562614678897e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.708218692660551,0.708218692660551,True,True,True,True,True,1.7456119029877906,0.5555555555555556
0.97,1.05,0.64,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1426319683257917e-10,0.0,1.1426319683257917e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.7868401583710413,0.7868401583710413,True,True,True,True,True,1.902854834408771,0.5555555555555556
0.97,1.05,0.66,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1273288616071426e-10,0.0,1.1273288616071426e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.8633556919642866,0.8633556919642866,True,True,True,True,True,2.055885901595262,0.5555555555555556
0.97,1.05,0.68,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.1124302422907487e-10,0.0,1.1124302422907487e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.937848788546256,0.937848788546256,True,True,True,True,True,2.2048720947592004,0.5555555555555556
0.97,1.05,0.7,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.0979202826086955e-10,0.0,1.0979202826086955e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,1.0103985869565222,1.0103985869565222,True,True,False,False,False,2.349971691579733,0.5555555555555556
0.97,1.05,0.72,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.0837839699570815e-10,0.0,1.0837839699570815e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,1.0810801502145921,1.0810801502145921,True,True,False,False,False,2.491334818095873,0.5555555555555556
0.97,1.07,0.56,0.4,0.2,0.904,0.872,2.5339502355300007e-05,0.24399,1.2200253157894734e-10,0.0,1.2200253157894734e-10,1.005928,0.994964,True,True,True,0.23167451766668826,0.09750000000000036,0.39987342105263246,0.39987342105263246,True,True,True,True,True,1.1289213597719536,0.5555555555555556
