beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.97,1.03,0.62,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2079608119266057e-10,0.0,1.2079608119266057e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.4601959403669712,0.4601959403669712,True,True,True,True,True,1.087546639567281,0.7142857142857142
0.97,1.03,0.64,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.191563153846154e-10,0.0,1.191563153846154e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.5421842307692302,0.5421842307692302,True,True,True,True,True,1.251523220371799,0.7142857142857142
0.97,1.03,0.66,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.17560471875e-10,0.0,1.17560471875e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.6219764062499995,0.6219764062499995,True,True,True,True,True,1.4111075713333376,0.7142857142857142
0.97,1.03,0.68,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.1600680925110132e-10,0.0,1.1600680925110132e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.6996595374449336,0.6996595374449336,True,True,True,True,True,1.5664738337232058,0.7142857142857142
0.97,1.03,0.7,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.1449367695652174e-10,0.0,1.1449367695652174e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.7753161521739126,0.7753161521739126,True,True,True,True,True,1.7177870631811638,0.7142857142857142
0.97,1.03,0.72,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.1301950944206009e-10,0.0,1.1301950944206009e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.8490245278969952,0.8490245278969952,True,True,True,True,True,1.865203814627329,0.7142857142857142
0.97,1.05,0.56,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2723918421052627e-10,0.0,1.2723918421052627e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.1380407894736862,0.1380407894736862,True,True,True,True,True,0.44323633778071103,0.7142857142857142
0.97,1.05,0.58,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2543862971698112e-10,0.0,1.2543862971698112e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.22806851415094376,0.22806851415094376,True,True,True,True,True,0.6232917871352261,0.7142857142857142
0.97,1.05,0.6,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2368832325581394e-10,0.0,1.2368832325581394e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.31558383720930266,0.31558383720930266,True,True,True,True,True,0.798322433251944,0.7142857142857142
0.97,1.05,0.62,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2198619036697244e-10,0.0,1.2198619036697244e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.4006904816513774,0.4006904816513774,True,True,True,True,True,0.9685357221360935,0.7142857142857142
0.97,1.05,0.64,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.203302692307692e-10,0.0,1.203302692307692e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.4834865384615393,0.4834865384615393,True,True,True,True,True,1.134127835756417,0.7142857142857142
0.97,1.05,0.66,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.1871870312499998e-10,0.0,1.1871870312499998e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.5640648437500007,0.5640648437500007,True,True,True,True,True,1.29528444633334,0.7142857142857142
0.97,1.05,0.68,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.171497334801762e-10,0.0,1.171497334801762e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.6425133259911896,0.6425133259911896,True,True,True,True,True,1.4521814108157178,0.7142857142857142
0.97,1.05,0.7,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.1562169347826084e-10,0.0,1.1562169347826084e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.7189153260869577,0.7189153260869577,True,True,True,True,True,1.6049854110072541,0.7142857142857142
0.97,1.05,0.72,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.1413300214592274e-10,0.0,1.1413300214592274e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.7933498927038627,0.7933498927038627,True,True,True,True,True,1.753854544241064,0.7142857142857142
0.97,1.07,0.56,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2848054210526312e-10,0.0,1.2848054210526312e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.07597289473684342,0.07597289473684342,True,True,True,True,True,0.3191005483070255,0.7142857142857142
0.97,1.07,0.58,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2666242122641508e-10,0.0,1.2666242122641508e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.16687893867924572,0.16687893867924572,True,True,True,True,True,0.5009126361918301,0.7142857142857142
0.97,1.07,0.6,0.2,0.1,0.952,0.9359999999999999,2.5306646427650003e-05,0.24378,1.2489503860465116e-10,0.0,1.2489503860465116e-10,0.999964,0.992982,True,True,True,0.12215475883334222,0.04499999999999643,0.2552480697674415,0.2552480697674415,True,True,True,True,True,0.6776508983682217,0.7142857142857142
