beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.09,0.58,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3392759433962262e-10,0.0,1.3392759433962262e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.19637971698113135,0.19637971698113135,True,True,True,True,True,0.41960610062892734,1.0
0.96,1.09,0.6,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3205883720930231e-10,0.0,1.3205883720930231e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.10294186046511614,0.10294186046511614,True,True,True,True,True,0.23273038759689693,1.0
0.96,1.09,0.62,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3024151376146788e-10,0.0,1.3024151376146788e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.012075688073394512,0.012075688073394512,True,True,True,True,True,0.05099804281345368,1.0
0.96,1.09,0.64,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2847352941176468e-10,0.0,1.2847352941176468e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.07632352941176562,0.07632352941176562,True,True,True,True,True,0.1794937254901959,1.0
0.96,1.09,0.66,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2675290178571427e-10,0.0,1.2675290178571427e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.16235491071428598,0.16235491071428598,True,True,True,True,True,0.35155648809523665,1.0
0.96,1.09,0.68,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2507775330396474e-10,0.0,1.2507775330396474e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.2461123348017624,0.2461123348017624,True,True,True,True,True,0.5190713362701894,1.0
0.96,1.09,0.7,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2344630434782607e-10,0.0,1.2344630434782607e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.327684782608696,0.327684782608696,True,True,True,True,True,0.6822162318840566,1.0
0.96,1.09,0.72,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.218568669527897e-10,0.0,1.218568669527897e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.4071566523605151,0.4071566523605151,True,True,True,True,True,0.8411599713876949,1.0
0.96,1.11,0.56,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3714999999999999e-10,0.0,1.3714999999999999e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.3574999999999998,0.3574999999999998,True,True,True,True,True,0.7418466666666643,1.0
0.96,1.11,0.58,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3520919811320756e-10,0.0,1.3520919811320756e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.26045990566037835,0.26045990566037835,True,True,True,True,True,0.5477664779874214,1.0
0.96,1.11,0.6,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.333225581395349e-10,0.0,1.333225581395349e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.16612790697674557,0.16612790697674557,True,True,True,True,True,0.3591024806201558,1.0
0.96,1.11,0.62,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3148784403669725e-10,0.0,1.3148784403669725e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.07439220183486281,0.07439220183486281,True,True,True,True,True,0.17563107033639028,1.0
0.96,1.11,0.64,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.297029411764706e-10,0.0,1.297029411764706e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.014852941176469747,0.014852941176469747,True,True,True,True,True,0.056552549019604145,1.0
0.96,1.11,0.66,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2796584821428572e-10,0.0,1.2796584821428572e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.10170758928571359,0.10170758928571359,True,True,True,True,True,0.23026184523809184,1.0
0.96,1.11,0.68,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2627466960352423e-10,0.0,1.2627466960352423e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.18626651982378803,0.18626651982378803,True,True,True,True,True,0.3993797063142407,1.0
0.96,1.11,0.7,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.246276086956522e-10,0.0,1.246276086956522e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.2686195652173894,0.2686195652173894,True,True,True,True,True,0.5640857971014435,1.0
0.96,1.11,0.72,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2302296137339057e-10,0.0,1.2302296137339057e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.348851931330471,0.348851931330471,True,True,True,True,True,0.7245505293276067,1.0
0.96,1.13,0.56,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3844999999999997e-10,0.0,1.3844999999999997e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.4224999999999991,0.4224999999999991,True,True,True,True,True,0.8718466666666629,1.0
0.96,1.13,0.58,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3649080188679245e-10,0.0,1.3649080188679245e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.3245400943396228,0.3245400943396228,True,True,True,True,True,0.6759268553459101,1.0
