beta_e_phys,gamma_exch_phys,gamma_drain_phys,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,surface_name,surface_t,surface_weight,surface_capture_fraction,Li7_surface_over_H,Be7_surface_over_H,Li_total_surface_over_H,chi_D,chi_Y,chi_Li_total_surface,passes_D,passes_Y,passes_Li_total_surface,passes_all,chi_sum
0.96,1.13,0.6,2.5275054e-05,0.24356,1.3458627906976744e-10,0.0,1.3458627906976744e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3458627906976744e-10,0.0,1.3458627906976744e-10,0.016846666666661594,0.010000000000003062,0.2293139534883724,True,True,True,True,0.25616062015503704
0.96,1.13,0.62,2.5275054e-05,0.24356,1.3273417431192659e-10,0.0,1.3273417431192659e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3273417431192659e-10,0.0,1.3273417431192659e-10,0.016846666666661594,0.010000000000003062,0.13670871559632983,True,True,True,True,0.1635553822629945
0.96,1.13,0.64,2.5275054e-05,0.24356,1.3093235294117646e-10,0.0,1.3093235294117646e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3093235294117646e-10,0.0,1.3093235294117646e-10,0.016846666666661594,0.010000000000003062,0.04661764705882354,True,True,True,True,0.0734643137254882
0.96,1.13,0.66,2.5275054e-05,0.24356,1.2917879464285712e-10,0.0,1.2917879464285712e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2917879464285712e-10,0.0,1.2917879464285712e-10,0.016846666666661594,0.010000000000003062,0.04106026785714378,True,True,True,True,0.06790693452380843
0.96,1.13,0.68,2.5275054e-05,0.24356,1.274715859030837e-10,0.0,1.274715859030837e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.274715859030837e-10,0.0,1.274715859030837e-10,0.016846666666661594,0.010000000000003062,0.12642070484581494,True,True,True,True,0.1532673715124796
0.96,1.13,0.7,2.5275054e-05,0.24356,1.2580891304347826e-10,0.0,1.2580891304347826e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.2580891304347826e-10,0.0,1.2580891304347826e-10,0.016846666666661594,0.010000000000003062,0.2095543478260867,True,True,True,True,0.23640101449275136
0.96,1.13,0.72,2.5275054e-05,0.24356,1.241890557939914e-10,0.0,1.241890557939914e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.241890557939914e-10,0.0,1.241890557939914e-10,0.016846666666661594,0.010000000000003062,0.2905472103004294,True,True,True,True,0.31739387696709404
0.96,1.15,0.56,2.5275054e-05,0.24356,1.3974999999999996e-10,0.0,1.3974999999999996e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3974999999999996e-10,0.0,1.3974999999999996e-10,0.016846666666661594,0.010000000000003062,0.4874999999999983,True,True,True,True,0.514346666666663
0.96,1.15,0.58,2.5275054e-05,0.24356,1.3777240566037733e-10,0.0,1.3777240566037733e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3777240566037733e-10,0.0,1.3777240566037733e-10,0.016846666666661594,0.010000000000003062,0.3886202830188672,True,True,True,True,0.41546694968553183
0.96,1.15,0.6,2.5275054e-05,0.24356,1.3584999999999998e-10,0.0,1.3584999999999998e-10,0.992,0.988,True,True,True,S_proxy_obs,8.0,0.0,0.9592377960216338,1.3584999999999998e-10,0.0,1.3584999999999998e-10,0.016846666666661594,0.010000000000003062,0.29249999999999926,True,True,True,True,0.3193466666666639
