galaxy,source,q_flag,fit_status,n_points,rho0_best,r0_best,v_inf_best,chi2_min,chi2_red
NGC4088,data/SPARC/Rotmod\NGC4088_rotmod.dat,1,boundary,12,0.6309573444801932,0.001,5.839627019598481e-06,619.0067617518013,61.90067617518012
NGC4100,data/SPARC/Rotmod\NGC4100_rotmod.dat,1,ok,24,4478811.562345995,11.629353057942051,180.93478148717563,55.99557949063111,2.545253613210505
NGC4138,data/SPARC/Rotmod\NGC4138_rotmod.dat,2,ok,7,2232735.148777283,27.82559402207123,305.6667212131803,14.05757833916674,2.811515667833348
NGC4157,data/SPARC/Rotmod\NGC4157_rotmod.dat,1,boundary,17,714981.1196669218,1584.893192461114,9852.181323638868,307.0418239045566,20.469454926970442
NGC4183,data/SPARC/Rotmod\NGC4183_rotmod.dat,1,ok,23,40253736.7004742,1.9648677899934663,91.64769432908905,5.136378694402083,0.24458946163819442
NGC4214,data/SPARC/Rotmod\NGC4214_rotmod.dat,2,ok,14,91461919.17411913,1.291549665014884,90.80638264510631,11.033215721546673,0.9194346434622228
NGC4217,data/SPARC/Rotmod\NGC4217_rotmod.dat,1,boundary,19,48119.99587019713,1584.893192461114,2555.923788442197,1595.255512602581,93.8385595648577
NGC4389,data/SPARC/Rotmod\NGC4389_rotmod.dat,3,boundary,6,0.6309573444801932,0.001,5.839627019598481e-06,479.2146881445942,119.80367203614855
NGC4559,data/SPARC/Rotmod\NGC4559_rotmod.dat,1,ok,32,2093327.6470215854,17.467156935212216,185.79154071795242,81.51464737802276,2.717154912600759
NGC5005,data/SPARC/Rotmod\NGC5005_rotmod.dat,1,boundary,18,0.6309573444801932,0.001,5.839627019598481e-06,251.4164593960229,15.713528712251431
NGC5033,data/SPARC/Rotmod\NGC5033_rotmod.dat,1,ok,22,9790879.496616116,8.211914981540966,188.90367482064198,369.6658238391499,18.483291191957495
NGC5055,data/SPARC/Rotmod\NGC5055_rotmod.dat,1,ok,28,395133.80450009456,974.7402255566054,4504.494814135351,83885.89023367329,3226.380393602819
NGC5371,data/SPARC/Rotmod\NGC5371_rotmod.dat,1,boundary,19,0.6309573444801932,0.001,5.839627019598481e-06,2412.544624918315,141.91438970107737
NGC5585,data/SPARC/Rotmod\NGC5585_rotmod.dat,1,ok,24,6537020.470679938,7.8222795638600235,147.03081520702204,332.49455661133953,15.113388936879069
NGC5907,data/SPARC/Rotmod\NGC5907_rotmod.dat,1,ok,19,1344683.7450999357,32.35936569296285,275.8641001905969,84.80997529897945,4.988822076410556
NGC5985,data/SPARC/Rotmod\NGC5985_rotmod.dat,1,ok,33,2207847091.552545,0.5888436553555891,203.40873806499621,119.67201345506986,3.8603875308087052
NGC6015,data/SPARC/Rotmod\NGC6015_rotmod.dat,2,ok,44,6537020.470679938,9.213920154447731,173.18866968394926,409.24345977546875,9.743891899415923
NGC6195,data/SPARC/Rotmod\NGC6195_rotmod.dat,1,boundary,23,0.6309573444801932,0.001,5.839627019598481e-06,1354.4575918722767,64.49798056534651
NGC6503,data/SPARC/Rotmod\NGC6503_rotmod.dat,1,ok,31,10220881.945937147,5.342909004931614,125.57612373129027,536.5642398147919,18.502215166027305
NGC6674,data/SPARC/Rotmod\NGC6674_rotmod.dat,1,ok,15,5272863.291730195,13.981557579172984,236.02821431759108,87.69105480148289,6.7454657539602225
NGC6789,data/SPARC/Rotmod\NGC6789_rotmod.dat,2,ok,4,376032001.3975739,1.4528548322874288,207.11890179570005,0.4355210124636331,0.21776050623181656
NGC6946,data/SPARC/Rotmod\NGC6946_rotmod.dat,1,boundary,58,0.6309573444801932,0.001,5.839627019598481e-06,5002.157013061225,89.3242323760933
NGC7331,data/SPARC/Rotmod\NGC7331_rotmod.dat,1,boundary,36,479450.95282222336,1584.893192461114,8067.838617968627,5529.39016106407,162.62912238423735
NGC7793,data/SPARC/Rotmod\NGC7793_rotmod.dat,1,ok,46,5410922.552335578,8.107536058544312,138.64673830428018,57.782199606193814,1.3132318092316775
NGC7814,data/SPARC/Rotmod\NGC7814_rotmod.dat,1,ok,18,11330878.062213177,10.853143756811052,268.57924450793945,127.31025263324072,7.956890789577545
PGC51017,data/SPARC/Rotmod\PGC51017_rotmod.dat,3,boundary,6,0.6309573444801932,0.001,5.839627019598481e-06,19.466892705469938,4.8667231763674845
UGC00128,data/SPARC/Rotmod\UGC00128_rotmod.dat,1,ok,22,22729461.53258014,3.5938136638046267,125.96075020013919,67.78849300941957,3.3894246504709784
UGC00191,data/SPARC/Rotmod\UGC00191_rotmod.dat,1,ok,9,61065856.048532754,1.3048348742603946,74.96177986254582,12.819943072757166,1.8314204389653095
UGC00634,data/SPARC/Rotmod\UGC00634_rotmod.dat,2,ok,4,13456441.650500145,4.594330379610215,123.90032565366168,3.6964777201003494,1.8482388600501747
UGC00731,data/SPARC/Rotmod\UGC00731_rotmod.dat,1,ok,12,70979311.59387036,1.1364636663857242,70.38928542667708,1.449096795594121,0.14490967955941209
