galaxy,source,q_flag,fit_status,n_points,ml_star_best,rho0_best,r0_best,v_inf_best,chi2_min,chi2_red
UGC00128,data/SPARC/Rotmod\UGC00128_rotmod.dat,1,ok,22,0.7749999999999999,30861338.511850692,3.094042791266563,126.36267304211738,63.15659572775023,3.324031354092117
UGC00191,data/SPARC/Rotmod\UGC00191_rotmod.dat,1,ok,9,0.44999999999999996,119930956.59212017,0.9713336203720003,78.20223752084907,9.33471426906683,1.5557857115111382
UGC00634,data/SPARC/Rotmod\UGC00634_rotmod.dat,2,ok,4,1.15,12542135.87171088,4.745869472485925,123.56248941812669,4.047994887040279,4.047994887040279
UGC00731,data/SPARC/Rotmod\UGC00731_rotmod.dat,1,ok,12,2.1833333333333336,63439729.59135931,1.1677998659214277,68.38080229898435,1.2578961307738568,0.13976623675265076
UGC00891,data/SPARC/Rotmod\UGC00891_rotmod.dat,2,ok,5,0.2,13776371.956713712,3.0790805660189253,84.0182423684721,0.35497581546773993,0.17748790773386997
UGC01230,data/SPARC/Rotmod\UGC01230_rotmod.dat,1,ok,11,1.8666666666666663,21757457.431313954,2.6462543135122383,90.74459350722337,4.70976502765628,0.588720628457035
UGC01281,data/SPARC/Rotmod\UGC01281_rotmod.dat,1,boundary,25,0.05,28934418.471589662,1.945124340269414,76.92010296480784,5.170531387391207,0.23502415397232757
UGC02023,data/SPARC/Rotmod\UGC02023_rotmod.dat,2,ok,5,0.275,10418411.974656126,48.918562235418364,1160.805766653979,0.03725444025790806,0.01862722012895403
UGC02259,data/SPARC/Rotmod\UGC02259_rotmod.dat,2,ok,8,0.4025,412022677.09596276,0.5726572150091959,85.45557603483222,2.8515447240774465,0.5703089448154893
UGC02455,data/SPARC/Rotmod\UGC02455_rotmod.dat,3,boundary,8,0.07500000000000001,7345052.611811644,1584.893192461114,31577.85053736191,3.466362825320166,0.6932725650640332
UGC02487,data/SPARC/Rotmod\UGC02487_rotmod.dat,1,ok,17,1.1416666666666666,22055222.85275835,8.237387069571021,284.4004689895672,61.869516332420936,4.419251166601495
UGC02885,data/SPARC/Rotmod\UGC02885_rotmod.dat,1,ok,19,0.9333333333333332,2196907.162806509,31.241857136026645,340.42998360123056,19.3529197931804,1.209557487073775
UGC02916,data/SPARC/Rotmod\UGC02916_rotmod.dat,2,boundary,43,0.05,158641680891.64655,0.0706231961750996,206.79552150910445,132.2002438738262,3.3050060968456547
UGC02953,data/SPARC/Rotmod\UGC02953_rotmod.dat,2,ok,115,0.6499999999999999,63300126.82551343,4.194030447006404,245.31210457694826,589.2423536550847,5.2610924433489705
UGC03205,data/SPARC/Rotmod\UGC03205_rotmod.dat,1,ok,48,0.4083333333333333,2436225907.2819924,0.5153535394850468,187.00324860884965,94.97787971199229,2.110619549155384
UGC03546,data/SPARC/Rotmod\UGC03546_rotmod.dat,1,ok,30,0.47500000000000003,79375135.26126924,2.7243516110342987,178.43929817472335,25.267787475183543,0.9358439805623534
UGC03580,data/SPARC/Rotmod\UGC03580_rotmod.dat,2,ok,47,0.2833333333333333,41932881.5535935,2.598584490771244,123.70843282126341,150.09959989327615,3.4113545430290033
UGC04278,data/SPARC/Rotmod\UGC04278_rotmod.dat,1,ok,25,1.1166666666666667,10196900.778197583,10.13420006478695,237.90779932300137,9.398731330722203,0.42721506048737284
UGC04305,data/SPARC/Rotmod\UGC04305_rotmod.dat,3,boundary,22,0.7666666666666666,0.6309573444801932,0.001,5.839627019598481e-06,34.14760979626681,1.797242620856148
UGC04325,data/SPARC/Rotmod\UGC04325_rotmod.dat,1,ok,8,1.4416666666666667,272341925.59377956,0.6248697107811937,75.81093185531289,7.359366838647217,1.4718733677294433
UGC04483,data/SPARC/Rotmod\UGC04483_rotmod.dat,2,ok,8,0.07,180014665.59777015,0.251493239905901,24.80649292124156,1.5491725231285083,0.30983450462570167
UGC04499,data/SPARC/Rotmod\UGC04499_rotmod.dat,1,boundary,9,0.05,65331808.731411465,1.2976509670912633,77.10904866871256,1.1949017184241209,0.19915028640402013
UGC05005,data/SPARC/Rotmod\UGC05005_rotmod.dat,1,ok,11,0.4416666666666667,6456466.633089931,5.917050327109935,110.53194900450775,0.28891220398137196,0.036114025497671495
UGC05253,data/SPARC/Rotmod\UGC05253_rotmod.dat,2,ok,73,0.15500000000000003,122737450882.03609,0.08741358812208401,225.13997127458393,224.47700939419335,3.206814419917048
UGC05414,data/SPARC/Rotmod\UGC05414_rotmod.dat,1,ok,6,0.6749999999999999,19387037.50129768,2.436924674172403,78.8829129796933,0.3044308258827958,0.10147694196093193
UGC05716,data/SPARC/Rotmod\UGC05716_rotmod.dat,2,ok,12,1.6416666666666666,18320675.220172253,2.4816289228368262,78.08950850206848,22.167949104939854,2.463105456104428
UGC05721,data/SPARC/Rotmod\UGC05721_rotmod.dat,1,ok,23,0.55,654436757.9179536,0.43282844010754756,81.40193733743436,16.946705842826752,0.8473352921413376
UGC05750,data/SPARC/Rotmod\UGC05750_rotmod.dat,1,ok,11,0.725,6507661.224705887,4.615412546594834,86.55817753266999,1.4841159504997294,0.18551449381246618
UGC05764,data/SPARC/Rotmod\UGC05764_rotmod.dat,2,ok,10,0.26583333333333337,274501378.19424945,0.4874103385453635,59.36795793026049,35.6887473174718,5.098392473924543
UGC05829,data/SPARC/Rotmod\UGC05829_rotmod.dat,2,ok,11,2.6999999999999997,4144049.5194788333,6.6713008532479146,99.84081186611469,0.8706318115097477,0.10882897643871846
UGC05918,data/SPARC/Rotmod\UGC05918_rotmod.dat,2,ok,8,0.2083333333333333,63942755.66323757,0.7972213987433364,46.86619886612207,0.08731054655296043,0.017462109310592087
UGC05986,data/SPARC/Rotmod\UGC05986_rotmod.dat,2,ok,15,0.8,53418865.02905856,2.436924674172403,130.94066519513166,18.156429980388005,1.5130358316990005
UGC05999,data/SPARC/Rotmod\UGC05999_rotmod.dat,2,boundary,5,0.05,15218487.827750837,3.9474422895959362,113.21048461537049,2.809979400086505,1.4049897000432525
UGC06399,data/SPARC/Rotmod\UGC06399_rotmod.dat,1,ok,9,0.8166666666666667,32216727.59145358,2.315990865219673,96.64127787371302,0.5703834786065602,0.09506391310109337
UGC06446,data/SPARC/Rotmod\UGC06446_rotmod.dat,1,ok,17,2.6333333333333333,21127338.16558836,2.4816289228368262,83.85796968122402,2.412962573947713,0.1723544695676938
UGC06614,data/SPARC/Rotmod\UGC06614_rotmod.dat,1,ok,13,0.575,5108401.071008573,13.904580626985389,231.03910723915584,1.8105264325673809,0.1810526432567381
UGC06628,data/SPARC/Rotmod\UGC06628_rotmod.dat,2,boundary,7,0.05,245992077.0990277,0.318149744608868,36.684047582993976,1.2480070304364241,0.31200175760910603
UGC06667,data/SPARC/Rotmod\UGC06667_rotmod.dat,1,ok,9,1.9499999999999997,52697662.12103763,1.7420179734744865,92.96798438507733,1.917635933712745,0.31960598895212416
UGC06786,data/SPARC/Rotmod\UGC06786_rotmod.dat,1,ok,45,0.05583333333333334,5030111455.852458,0.4323042187075883,225.40491781184238,48.430859161287565,1.1531156943163705
UGC06787,data/SPARC/Rotmod\UGC06787_rotmod.dat,2,ok,71,0.5416666666666667,181042763.6098333,2.338553815214576,231.3252621567029,1579.6235965035373,23.22975877211084
UGC06818,data/SPARC/Rotmod\UGC06818_rotmod.dat,2,ok,8,0.20333333333333337,11353633.21612401,5.396414035338692,133.67734229174388,5.131079770856186,1.0262159541712372
UGC06917,data/SPARC/Rotmod\UGC06917_rotmod.dat,1,ok,11,0.15000000000000002,91417215.70042586,1.655569315036601,116.37145722957722,2.134540901294441,0.26681761266180515
