galaxy,source,q_flag,fit_status,n_points,vh_best,chi2_min,chi2_vh0,delta_chi2_vh0,vh_minus,vh_plus,vh_bs_p16,vh_bs_p50,vh_bs_p84,rho0_r0_1kpc
KK98-251,data/SPARC/Rotmod\KK98-251_rotmod.dat,2,ok,15,13.018500000000001,133.29339791089862,228.24103710495388,94.94763919405526,0.8193651539634441,0.7964896528487877,10.548119999999999,13.059750000000001,15.661179999999998,3135823.974570126
NGC0024,data/SPARC/Rotmod\NGC0024_rotmod.dat,1,ok,29,75.3,322.3911310298623,514.3236246711224,191.93249364126007,1.356808622052455,1.3546504996847943,67.488,74.63,81.1056,104910687.65399937
NGC0055,data/SPARC/Rotmod\NGC0055_rotmod.dat,2,ok,21,40.6,491.46791714948415,891.0040247029364,399.5361075534522,0.8207332018082099,0.8242819890794664,33.680800000000005,40.69,47.0728,30498736.545865487
NGC0100,data/SPARC/Rotmod\NGC0100_rotmod.dat,1,ok,21,40.64,260.5790247078009,369.4185285439008,108.83950383609988,1.6119394718401452,1.573112021256243,33.644,40.599999999999994,47.4864,30558862.182425123
NGC0247,data/SPARC/Rotmod\NGC0247_rotmod.dat,2,ok,26,45.120000000000005,862.0558133117052,2210.714976541727,1348.659163230022,0.48095417808200835,0.4815014836845961,39.6768,45.32,50.2464,37667601.15622754
NGC0289,data/SPARC/Rotmod\NGC0289_rotmod.dat,2,ok,28,120.44,277.84513542461076,404.01409548029665,126.16896005568589,1.7010132996169034,1.6944680101124447,115.4736,120.64,126.1496,268393055.7615458
NGC0300,data/SPARC/Rotmod\NGC0300_rotmod.dat,2,ok,25,63.42,561.8907963773263,982.5237922502147,420.6329958728884,0.9145862208156643,0.8943779940498189,54.9104,64.1,71.0688,74418730.4142748
NGC0801,data/SPARC/Rotmod\NGC0801_rotmod.dat,1,boundary_zero,13,0.0,686.6401884647383,686.6401884647383,0.0,0.0,13.217372148082662,0.0,0.0,55.5832,0.0
NGC0891,data/SPARC/Rotmod\NGC0891_rotmod.dat,1,boundary_zero,18,0.0,3702.4594000942234,3702.4594000942234,0.0,0.0,2.343388856148241,0.0,0.0,0.0,0.0
NGC1003,data/SPARC/Rotmod\NGC1003_rotmod.dat,1,ok,36,84.8,1414.0028643138844,3024.6882413438743,1610.68537702999,0.48103290629093465,0.46565578390610085,81.9936,84.72,87.9088,133052024.10321806
NGC1090,data/SPARC/Rotmod\NGC1090_rotmod.dat,1,ok,24,83.9,846.7804232558678,1072.9361371905356,226.1557139346678,1.2090879680393556,1.1993123266231862,75.8256,83.39,90.3752,130242793.61366558
NGC1705,data/SPARC/Rotmod\NGC1705_rotmod.dat,3,ok,14,61.96,16.13141660548928,201.4045572319619,185.2731406264726,1.401969724915233,1.3848764919655139,60.9536,62.08,62.96,71031763.90292042
NGC2366,data/SPARC/Rotmod\NGC2366_rotmod.dat,3,ok,26,27.3,805.2706232879714,1521.765919899649,716.4952966116775,0.5444593159475062,0.5503827457413912,23.2952,27.53,31.0264,13789708.17070791
NGC2403,data/SPARC/Rotmod\NGC2403_rotmod.dat,1,ok,73,83.52,31577.78791380194,48745.526746109696,17167.738832307754,0.14188683361609833,0.14250303906214867,76.64,83.29,88.3,129065673.6765442
NGC2683,data/SPARC/Rotmod\NGC2683_rotmod.dat,2,ok,11,63.96,107.83296156227722,115.5010883720064,7.6681268097291735,6.5088460914839175,5.993044523555021,42.7016,65.15,84.28240000000001,75691426.72639999
NGC2841,data/SPARC/Rotmod\NGC2841_rotmod.dat,1,ok,50,219.38,927.3970910525904,1328.3329729864392,400.9358819338488,0.9711884002269073,0.9784265417927713,215.7904,218.8,221.8936,890479335.342101
NGC2903,data/SPARC/Rotmod\NGC2903_rotmod.dat,1,ok,34,20.56,7650.648404470618,7660.33941113203,9.691006661412757,3.6270461557081717,3.0861503598057745,0.0,22.520000000000003,49.812799999999996,7821247.009606131
NGC2915,data/SPARC/Rotmod\NGC2915_rotmod.dat,2,ok,30,73.2,121.26281085998009,306.21001725941477,184.94720639943466,1.44513831243016,1.456451640002939,70.9,73.2,75.0296,99140691.42027123
