delta_em,D_over_H,Y_p,Li7_over_H,Be7_over_H,D_z,Y_z,Li_z,passes_D,passes_Y,passes_Li,passes_all
-0.0058,2.5169756063697075e-05,0.2468,1.8989887323222499e-10,1.5937796509076415e-10,0.3341464543430857,0.030927835051545845,1.028995910716935,True,True,False,False
-0.0057,2.5158054847870978e-05,0.246805,1.9325135214667136e-10,1.6202951665839145e-10,0.37315050709674213,0.031443298969072137,1.1371403918281084,True,True,False,False
-0.0056,2.5146359071845387e-05,0.24681,1.966630157981334e-10,1.6472518176274121e-10,0.4121364271820446,0.03195876288659842,1.2471940580043033,True,True,False,False
-0.0055,2.5134668733091384e-05,0.246815,2.0013490903526927e-10,1.6746569431528858e-10,0.45110422302872133,0.03247422680412471,1.3591906140409442,True,True,False,False
-0.0054,2.5122983829081226e-05,0.24682,2.0366809515251858e-10,1.7025180043750326e-10,0.49005390306258184,0.032989690721651,1.4731643597586639,True,True,False,False
-0.0053,2.5111304357288345e-05,0.24682500000000002,2.0726365621574463e-10,1.7308425866398612e-10,0.5289854757055167,0.03350515463917729,1.5891502005078915,True,True,False,False
-0.0052,2.5099630315187348e-05,0.24683,2.109226933936253e-10,1.7596384014898464e-10,0.5678989493755086,0.034020618556700716,1.7071836578588806,True,True,False,False
-0.0051,2.508796170025401e-05,0.246835,2.1464632729489468e-10,1.7889132887634446e-10,0.6067943324866326,0.03453608247422701,1.8273008804804736,True,True,False,False
-0.005,2.5076298509965287e-05,0.24684,2.184356983115384e-10,1.8186752187295392e-10,0.6456716334490453,0.03505154639175329,1.9495386552109162,True,True,False,False
-0.0049,2.5064640741799312e-05,0.246845,2.2229196696804748e-10,1.848932294257395e-10,0.6845308606689612,0.035567010309279584,2.073934418324112,True,True,False,False
-0.0048,2.5052988393235377e-05,0.24685,2.262163142768378e-10,1.8796927530227147e-10,0.7233720225487439,0.03608247422680587,2.200526266994768,True,True,False,False
-0.0047,2.5041341461753956e-05,0.246855,2.3020994209994477e-10,1.910964969750395e-10,0.7621951274868154,0.0365979381443293,2.32935297096596,True,True,False,False
-0.0046,2.5029699944836686e-05,0.24686,2.3427407351710284e-10,1.9427574584946007e-10,0.8010001838777128,0.03711340206185559,2.460453984422672,True,True,False,False
-0.0045,2.5018063839966388e-05,0.246865,2.3840995320032296e-10,1.9750788749567658e-10,0.8397872001120426,0.03762886597938188,2.5938694580749337,True,True,False,False
-0.0044,2.5006433144627042e-05,0.24687,2.426188477950835e-10,2.0079380188421624e-10,0.8785561845765266,0.03814432989690816,2.729640251454307,True,True,False,False
-0.0043,2.4994807856303796e-05,0.246875,2.4690204630825025e-10,2.0413438362556762e-10,0.9173071456540127,0.038659793814434455,2.8678079454274275,True,True,False,False
-0.0042,2.498318797248298e-05,0.24688000000000002,2.512608605028445e-10,2.075305422137436e-10,0.9560400917233961,0.03917525773196074,3.008414854930468,True,True,False,False
-0.0041,2.497157349065208e-05,0.246885,2.5569662529978123e-10,2.1098320227389693e-10,0.9947550311597317,0.039690721649484166,3.1515040419284266,True,True,False,False
-0.004,2.495996440829976e-05,0.24689,2.602106991866986e-10,2.1449330381405517e-10,1.0334519723341336,0.04020618556701046,3.29711932860318,False,True,False,False
-0.0039,2.494836072291583e-05,0.246895,2.648044646340058e-10,2.1806180248104362e-10,1.0721309236138978,0.04072164948453675,3.4453053107743807,False,True,False,False
-0.0038,2.4936762431991307e-05,0.2469,2.6947932851827514e-10,2.2168966982066591e-10,1.1107918933623115,0.041237113402063034,3.5961073715572622,False,True,False,False
-0.0037,2.492516953301833e-05,0.246905,2.7423672255310924e-10,2.2537789354221365e-10,1.1494348899389013,0.041752577319589326,3.7495716952615883,False,True,False,False
-0.0036,2.491358202349023e-05,0.24691,2.7907810372761415e-10,2.2912747778737622e-10,1.188059921699229,0.04226804123711275,3.9057452815359404,False,True,False,False
-0.0035,2.4901999900901505e-05,0.246915,2.8400495475261406e-10,2.329394434036245e-10,1.2266669969949828,0.04278350515463904,4.064675959761743,False,True,False,False
-0.0034,2.489042316274781e-05,0.24692,2.8901878451474283e-10,2.36814828222143e-10,1.2652561241739666,0.04329896907216533,4.2264124037013815,False,True,False,False
-0.0033,2.4878851806525954e-05,0.246925,2.9412112853855237e-10,2.4075468734038564e-10,1.3038273115801546,0.04381443298969162,4.3910041464049145,False,True,False,False
-0.0032,2.4867285829733926e-05,0.24693,2.9931354945677903e-10,2.447600934093329e-10,1.3423805675535805,0.044329896907217906,4.558501595379968,False,True,False,False
-0.0031,2.4855725229870876e-05,0.24693500000000002,3.045976374889122e-10,2.488321369255275e-10,1.3809159004304148,0.0448453608247442,4.728956048029425,False,True,False,False
-0.003,2.4844170004437107e-05,0.24694,3.0997501092821116e-10,2.5297192652796834e-10,1.419433318542977,0.04536082474226762,4.90241970736165,False,True,False,False
