series,phi_probe_cycles,P_down,P_down_err,
start in $|\uparrow\rangle$,0.8108108108108109,0.5033333333333333,0.03048042903929968,
start in $|\uparrow\rangle$,0.8243243243243243,0.5133333333333333,0.03047084172413086,
start in $|\uparrow\rangle$,0.8378378378378379,0.4666666666666667,0.03041709368722953,
start in $|\uparrow\rangle$,0.8513513513513514,0.4733333333333333,0.03044014085206889,
start in $|\uparrow\rangle$,0.864864864864865,0.5233333333333333,0.03044973839170845,
start in $|\uparrow\rangle$,0.8783783783783783,0.53,0.03042925976960939,
start in $|\uparrow\rangle$,0.8918918918918919,0.5433333333333333,0.03037286824249946,
start in $|\uparrow\rangle$,0.9054054054054055,0.5,0.03048106808024231,
start in $|\uparrow\rangle$,0.918918918918919,0.5333333333333333,0.0304170936872295,
start in $|\uparrow\rangle$,0.9324324324324325,0.4666666666666667,0.03041709368722953,
start in $|\uparrow\rangle$,0.945945945945946,0.5,0.03048106808024231,
start in $|\uparrow\rangle$,0.9594594594594595,0.4866666666666667,0.03047084172413084,
start in $|\uparrow\rangle$,0.972972972972973,0.48,0.03045805367192034,
start in $|\uparrow\rangle$,0.9864864864864865,0.4266666666666667,0.03017009793986611,
start in $|\uparrow\rangle$,1,0.5033333333333333,0.03048042903929968,
