Pump Power  H,Conversion Efficiency H,Pump Power  V,Conversion Efficiency V,Fit x H,Fit y H,Fit x V,Fit y V
,,,,220.372872872873,37.4360919847181,196.947947947948,34.0411682498329
,,,,221.172372372372,37.5321081934018,197.61961961962,34.125436208678
,,,,221.971871871872,37.6278700965978,198.291291291291,34.2095113547091
,,,,222.771371371371,37.7233780333059,198.962962962963,34.2933939132312
,,,,223.570870870871,37.8186323422186,199.634634634635,34.3770841093697
,,,,224.37037037037,37.9136333617213,200.306306306306,34.4605821680707
,,,,225.16986986987,38.0083814298928,200.977977977978,34.5438883141005
,,,,225.969369369369,38.1028768845051,201.64964964965,34.6270027720465
,,,,226.768868868869,38.197120063024,202.321321321321,34.7099257663168
,,,,227.568368368368,38.2911113026088,202.992992992993,34.7926575211402
,,,,228.367867867868,38.3848509401133,203.664664664665,34.8751982605668
,,,,229.167367367367,38.4783393120852,204.336336336336,34.9575482084678
,,,,229.966866866867,38.5715767547667,205,35.0387291646267
,,,,230.766366366366,38.6645636040949,205.008008008008,35.0397075885357
,,,,231.565865865866,38.7573001957014,205.67967967968,35.1216766242841
,,,,232.365365365365,38.8497868649133,206.351351351351,35.2034555390483
,,,,233.164864864865,38.9420239467528,207.023023023023,35.2850445559852
,,,,233.964364364364,39.0340117759375,207.694694694695,35.3664438980733
,,,,234.763863863864,39.1257506868809,208.366366366366,35.4476537881129
,,,,235,39.152798660657,209.038038038038,35.5286744487263
,,,,235.563363363363,39.2172410136925,209.70970970971,35.6095061023576
,,,,236.362862862863,39.3084830901778,210.381381381381,35.6901489712733
,,,,237.162362362362,39.3994772498385,211.053053053053,35.7706032775619
,,,,237.961861861862,39.4902238258733,211.724724724725,35.8508692431344
,,,,238.761361361361,39.5807231511773,212.396396396396,35.9309470897241
,,,,239.560860860861,39.6709755583428,213.068068068068,36.010837038887
,,,,240.36036036036,39.7609813796591,213.73973973974,36.0905393120017
,,,,241.15985985986,39.8507409471131,214.411411411411,36.1700541302696
,,,,241.959359359359,39.9402545923892,215.083083083083,36.2493817147148
,,,,242.758858858859,40.0295226468696,215.754754754755,36.3285222861847
,,,,243.558358358358,40.1185454416347,216.426426426426,36.4074760653496
,,,,244.357857857858,40.207323307463,217.098098098098,36.486243272703
,,,,245.157357357357,40.2958565748315,217.76976976977,36.5648241285618
,,,,245.956856856857,40.3841455739157,218.441441441441,36.6432188530662
,,,,246.756356356356,40.4721906345903,219.113113113113,36.7214276661801
,,,,247.555855855856,40.5599920864287,219.784784784785,36.7994507876909
,,,,248.355355355355,40.6475502587039,220.456456456456,36.8772884372096
,,,,249.154854854855,40.7348654803882,221.128128128128,36.9549408341715
,,,,249.954354354354,40.8219380801537,221.7997997998,37.0324081978354
,,,,250.753853853854,40.9087683863723,222.471471471472,37.1096907472845
,,,,251.553353353353,40.9953567271162,223.143143143143,37.1867887014258
,,,,252.352852852853,41.0817034301578,223.814814814815,37.263702278991
,,,,253.152352352352,41.16780882297,224.486486486487,37.3404316985358
,,,,253.951851851852,41.2536732327266,225.158158158158,37.4169771784408
,,,,254.751351351351,41.3392969863021,225.82982982983,37.4933389369108
,,,,255.550850850851,41.4246804102724,226,37.5126562895518
,,,,256.35035035035,41.5098238309147,226.501501501502,37.5695171919755
,,,,257.14984984985,41.5947275742077,227.173173173173,37.6455121614895
,,,,257.949349349349,41.6793919658318,227.844844844845,37.7213240631322
,,,,258,41.6847476500699,228.516516516517,37.796953114408
,,,,258.748848848849,41.7638173311697,229.188188188188,37.8723995326466
,,,,259.548348348348,41.848003995306,229.85985985986,37.9476635350027
,,,,260.347847847848,41.9319522830278,230.531531531532,38.0227453384565
,,,,261.147347347347,42.0156625188248,231.203203203203,38.0976451598138
,,,,261.946846846847,42.0991350268895,231.874874874875,38.1723632157056
,,,,262.746346346346,42.1823701311175,232.546546546547,38.2468997225889
,,,,263.545845845846,42.2653681551076,233.218218218218,38.3212548967463
,,,,264.345345345345,42.3481294221618,233.88988988989,38.3954289542864
,,,,265.144844844845,42.4306542552861,234.561561561562,38.4694221111437
,,,,265.944344344344,42.51294297719,235.233233233233,38.5432345830787
,,,,266.743843843844,42.5949959102874,235.904904904905,38.6168665856784
,,,,267.543343343343,42.6768133766962,236.576576576577,38.6903183343558
,,,,268.342842842843,42.7583956982389,237.248248248248,38.7635900443506
,,,,269.142342342342,42.8397431964425,237.91991991992,38.8366819307287
