delta_em,li_scale,be_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,D_z,Y_z,Li7_z,Li_total_z,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all_direct,passes_all_total
-0.00692,1.0,1.0,2.53011820895898e-05,0.246744,1.560991971484909e-10,1.3248620412984715e-10,2.8858540127833807e-10,0.10394029863266244,0.025154639175257135,0.06131622101642273,4.212432299301228,True,True,True,False,True,False
-0.00691,1.0,1.0,2.530000561197595e-05,0.2467445,1.5637260990988975e-10,1.3270498681273847e-10,2.890775967226282e-10,0.10001870658649838,0.025206185567011194,0.05249645451968523,4.228309571697684,True,True,True,False,True,False
-0.0069,1.0,1.0,2.529882918906704e-05,0.246745,1.566465015625287e-10,1.3292413078503833e-10,2.8957063234756704e-10,0.0960972968901293,0.025257731958762394,0.04366123991842856,4.2442139466957105,True,True,True,False,True,False
-0.00689,1.0,1.0,2.529765282086052e-05,0.2467455,1.5692087294520109e-10,1.3314363664336634e-10,2.9006450958856746e-10,0.0921760695350623,0.025309278350516454,0.03481055015480356,4.26014547059895,True,True,True,False,True,False
-0.00688,1.0,1.0,2.5296476507353852e-05,0.246746,1.5719572489816956e-10,1.3336350498532744e-10,2.90559229883497e-10,0.08825502451283833,0.02536082474226765,0.02594435812356247,4.276104189790225,True,True,True,False,True,False
-0.00687,1.0,1.0,2.529530024854449e-05,0.2467465,1.5747105826316834e-10,1.3358373640951316e-10,2.9105479467268153e-10,0.08433416181496448,0.02541237113402171,0.017062636671988863,4.292090150731662,True,True,True,False,True,False
-0.00686,1.0,1.0,2.5294124044429888e-05,0.246747,1.577468738834062e-10,1.338043315155038e-10,2.9155120539891e-10,0.08041348143295912,0.02546391752577291,0.008165358599800089,4.308103399964838,True,True,True,False,True,False
-0.00685,1.0,1.0,2.5292947895007513e-05,0.2467475,1.5802317260356855e-10,1.3402529090386962e-10,2.9204846350743817e-10,0.07649298335837451,0.02551546391752697,0.0007475033409210894,4.324143984110909,True,True,True,False,True,False
-0.00684,1.0,1.0,2.5291771800274805e-05,0.246748,1.5829995526982054e-10,1.342466151761727e-10,2.9254657044599326e-10,0.07257266758268385,0.025567010309278167,0.009675976445824075,4.34021194987075,True,True,True,False,True,False
-0.00683,1.0,1.0,2.5290595760229236e-05,0.2467485,1.5857722272980925e-10,1.3446830493496853e-10,2.930455276647778e-10,0.0686525340974507,0.025618556701032226,0.01862008805836297,4.35630734402509,True,True,True,False,True,False
