epsilon,delta_em,pi_cosmo,G_eff_cosmo,F_temps_cosmo,omega_m_eff,H_ratio_z0,H_ratio_z05,H_ratio_z1,H_ratio_z2,DA_rec,DL_z0_5,DL_z1,f_sigma8_proxy_z0,f_sigma8_proxy_z05,f_sigma8_proxy_z1,first_peak_shift,chi_sn,chi_bao,chi_cmb,chi_growth,chi_total,passes_bbn,passes_cosmo,passes_all
-0.007,-0.007,0.03,1.00252,0.9981135653614669,0.316390650282,1.0031515871002208,1.0031515871002208,1.0031515871002208,1.0031515871002208,10.349983723885023,2917.6407843155516,6780.321515284362,0.5298731889134022,0.760764185618126,0.8761650623075241,0.0018899999999999473,0.04414445000123588,2222.28802348682,5.715806777851003,32.873519065275595,2260.9214937799475,True,False,False
-0.007,-0.007,0.1,1.0084,0.9937394415184339,0.31964716979999996,1.0105176215168146,1.0105176215168143,1.0105176215168143,1.0105176215168146,10.274538887795098,2896.3730280934815,6730.897259265766,0.5301611991438971,0.7609421830730044,0.8762641702241988,0.006299999999999972,0.4916460549820375,2222.944419813094,6.21364124930405,32.902382286751255,2262.5520894041315,True,False,False
-0.0069,-0.0069,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0069,-0.0069,0.01,1.000828,0.9993793854016656,0.31545659696921996,1.0010351713782641,1.0010351713782641,1.0010351713782641,1.0010351713782641,10.371865940316107,2923.8093396305912,6794.6566550128855,0.5297903414929419,0.7607129736571645,0.8761365455757677,0.0006209999999999827,0.00476257681056572,2222.229351320123,5.592266048162527,32.86522187454673,2260.691601819643,True,False,False
-0.0069,-0.0069,0.03,1.002484,0.9981404643149813,0.31637076272298,1.003106542085331,1.003106542085331,1.003106542085331,1.003106542085331,10.35044849522426,2917.7718024746964,6780.625989107232,0.5298714260674438,0.7607630959660395,0.8761644555588867,0.001862999999999948,0.04289157212414245,2222.286161701985,5.713086393714381,32.873342490470364,2260.915482158294,True,False,False
-0.0069,-0.0069,0.1,1.00828,0.9938283260949503,0.319580546922,1.0103671218971586,1.0103671218971588,1.0103671218971588,1.0103671218971588,10.276069335650375,2896.804458441583,6731.899862631917,0.5301553198195654,0.7609385500556269,0.8762621475015989,0.006210000000000049,0.47767651746910617,2222.9241084808427,6.202419632511811,32.9017927907919,2262.505997421616,True,False,False
-0.0068,-0.0068,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0068,-0.0068,0.01,1.000816,0.9993883743149192,0.31544997730848,1.0010201664470242,1.001020166447024,1.001020166447024,1.001020166447024,10.372021410845564,2923.853166478012,6794.7585044654015,0.5297897539688464,0.7607126104640795,0.8761363433327578,0.0006120000000000569,0.004625509242816038,2222.229146351352,5.591421391974943,32.86516304254023,2260.69035629511,True,False,False
-0.0068,-0.0068,0.03,1.002448,0.9981673647183771,0.31635087577632,1.0030614977178385,1.0030614977178385,1.0030614977178385,1.0030614977178387,10.350913301626253,2917.902830517972,6780.930485899879,0.5298696632273502,0.7607620063155137,0.8761638488106693,0.0018359999999999488,0.04165674789480248,2222.28432649778,5.71037000188515,32.87316591735366,2260.9095191649135,True,False,False
-0.0068,-0.0068,0.1,1.00816,0.9939172265733711,0.31951393084799995,1.010216629455239,1.010216629455239,1.0102166294552388,1.010216629455239,10.277600166486621,2897.2359967512903,6732.9027168906405,0.5301494405604337,0.7609349170555949,0.8762601247836681,0.006119999999999903,0.4639089663362531,2222.904081884524,6.191242197531223,32.90120331361544,2262.4604363620074,True,False,False
-0.0067,-0.0067,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0067,-0.0067,0.01,1.000804,0.999397363389876,0.31544335771578,1.0010051615877618,1.001005161587762,1.001005161587762,1.0010051615877618,10.372176885290163,2923.8969944291075,6794.860356482743,0.5297891664454026,0.7607122472711678,0.8761361410897947,0.0006029999999999092,0.004490443633386517,2222.228944367197,5.59057717989935,32.8651042107213,2260.6891162014513,True,False,False
